index,disease_name,description,Possible Steps,image_url,,,,,,,,,,
10,Corn : Northern Leaf Blight,"처음에는 잎집에 타원형 내지 부정형의 얼룩무늬 증상으로 나타나며, 병반의 가장자리는 담갈색 내지 갈색을 띠고, 내부는 회백색 내지 황백색을 띤다. 병반은 6～7월에 식물체의 잎집 아래 부위에서 형성되고, 수확기까지 식물체의 위쪽으로 계속 진전되며, 후에 병반 표면에는 암갈색의 편구형 혹은 부정형 균핵이 형성된다. 심하게 감염된 식물체의 잎집과 잎은 전부 말라죽고, 간혹 잎집 내 줄기에도 암갈색 부정형 병반이 크게 형성되고, 썩는 증상이 나타난다.","재배 포장의 토양이 다습하지 않도록 주의한다. 식물체가 너무 밀식하지 않게 재배한다. 질소비료의 과용을 피하고, 칼리비료와 균형시비를 한다. 병 발생이 심한 포장은 십자화과 등 다른 비기주 작물과 돌려짓기를 한다.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg,,,,,,,,,,
11,Corn : Healthy,"건강한 옥수수이다.  옥수수 식물은 주간 기온이 화씨 75도에서 80도, 밤 기온이 65도에서 70도가 적당하다. 토양은 꾸준히 촉촉하게 유지되어야 하지만 너저분하게 젖지 않도록 주의해야 하며, 비료는 6개월에 한 번만 필요하다. 밝지만 직접적인 햇빛을 받는 곳에 배치할 때 가장 잘 자라는 경향이 있습니다. 식물이 몇 잎이 노랗게 되는 것은 자연스러운 현상이며 크게 신경 쓸 것은 없다. 그러나 만약 식물이 한 번에 다섯 개나 여섯 개의 많은 노란 잎을 생산한다면, 과분한 관수로 인해 또는 식물이 빛의 부족으로 고생하는 것일 수 있다.",건강한 옥수수이다.,https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg,,,,,,,,,,
12,Grape : Black Rot,"성숙된 잎에 등황색 내지 흑갈색의 병반이 형성된다. 초기 병징은 흑색의 작은 반점으로 시작, 병반 주위는 노란 환문이 생기며, 병이 진전 되면서 직경 1~2㎝ 크기의 다각형 병반을 만든다. 잎 뒷면은 다량의 분생자경 형성으로 흑갈색을 띤다. 많이 발생한 경우에는 7~8월 이후 황변하여 조기 낙엽을 일으킨다.","나무 세력이 약한 나무에 잘 발생하므로 질소가 많지 않도록 하는 비료관리와 햇빛과 바람이 잘 통하도록 나무관리에 주의하며 물빠짐 등에 유의해야 하고, 전염원이 되는 병든 낙엽은 긁어모아 태워 버린다. 월동기 포도나무의 발아 전에 석회유황합제를 살포한다. 생육기에는 탄저병 방제를 겸해서 등록약제를 잎 뒷면 중심으로 충분히 살포한다. 병 발생시기와 장마철이 중복되는 경우가 많으므로 약제 살포시기를 놓치지 않도록 주의하여야 한다.",,,,,,,,,,,https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
13,Grape : Esca | Black Measles,"주로 포도 수확기나 후에 발생하며, 포도의 잎과 새싹에 영향을 미치는 병이기도 하다. 나뭇잎의 비정상적인 색상 또는 모양 나무가 죽는 부분이 있거나 전체적인 나무의 쇠약함 줄기나 가지에 검은색 반점 또는 노란색 반점 심한 경우, 수확 시 포도가 좋지 않은 상태로 보일 수 있다. ","가지를 깨끗하게 손질함으로써, 병균이 번식하고 나무 전체에 퍼지는 것을 방지할 수 있다. 건강한 부분과 병든 부분을 잘 구분하여 나무의 건강한 성장을 유지하고, 새로운 병균의 침입을 방지한다. ",,,,,,,,,,,
14,Grape : Leaf Blight | Isariopsis Leaf Spot,"곰팡이 속의 세균으로 인해 발생하며, 잎에 발생하는 각종 문제를 일으킨다. 잎에 작은 갈색 혹은 회색 반점이 나타나며, 이후 반점이 커지고 합쳐져서 큰 잎 손상을 일으킨다. 잎의 경계를 따라 갈색 가장자리가 형성된다. 이 병은 잎의 사진합성을 방해하여 식물이 영양소를 생산하는데 문제를 일으킨다. 심한 경우, 잎이 노랗게 변하고 시들어 잎이 떨어질 수 있습니다.지 않도록 주의해야 한다. 그리고 이런 작업을 수행할 때 나무의 생리적인 상태나 시기를 고려하여 적절한 타이밍에 작업을 진행하는 것이 중요하다. ","나무 주변의 잡초를 제거하고 공기 순환이 잘되도록 나무 주변을 청소하여 장소의 통풍을 개선하여 습기가 증가하는 것을 방지한다. 과도한 관수는 병을 유발할 수 있으므로, 토양을 마르게 유지하고 너무 습기를 피하는 것이 중요하다.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg,,,,,,,,,,
15,Grape : Healthy,"건강한 포도이다. 물을 뿌릴 때에는 뿌리 영역에만 물을 줘야한다 . 포도 잎이 젖지 않도록 주의해야한다 . 이렇게 하면 포도의 많은 질병을 예방할 수 있다. 가을에는 어린 포도 덩굴에 물을 줄이고, 식물이 겨울을 준비하기 위해 견고한 삿갓을 형성하도록 견실해야한다. 오래된 덩굴들은 모래 토양이나 다른 흡수가 매우 잘 되는 토양에 있지 않는 이상 거의 물을 필요로하지 않는다.",건강한 포도이다.,https://images.indianexpress.com/2021/02/grapes-1200.jpg,,,,,,,,,,
16,Orange : Haunglongbing | Citrus Greening,"잎이 비정상적으로 변형되고, 식물은 잎이 축소되거나 비대해지는 증상을 보인다. 노란색 또는 녹색의 비정상적인 패턴이 잎에 나타나며, 이는 '청색증' 혹은 '사무라이 패턴'이라고 불린다. 나무의 꽃과 열매는 올바르게 성장하지 않고, 열매의 색상이 비정상적이거나 적절한 성장이 이루어지지 않는 경우가 있다.",질병의 전파를 방지하는데에 중요하기 때문에 확실히 확실히 감염된 나무를 제거하여 인접한 식물로의 전파를 막습니다. 이를 통해 질병의 확산을 제어할 수 있다. ,https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg,,,,,,,,,,
17,Peach : Bacterial Spot,"주로 잎에 발생을 하며, 가지와 과일에도 발생한다. 봄에 잎에 형성되는 병반은 수침상의 적자색 내지 갈색이며. 나중에 죽은 조직이 떨어져 나와 구멍이 생기게 된다. 가지에서는 병징이 적자색 내지 암갈색으로 변하고 심하면 가지가 고사된다. 어린 과실의 초기병징은 황색을 띠고, 차차 흑색으로 변하며, 병반주위가 녹황색을 띠게 된다.","전정 시 감염된 가지를 제거하여 불 태운다. 비, 바람에 전염이 일시에 감염시킬 수 있으므로 방풍구를 설치한다.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg,,,,,,,,,,
18,Peach : Healthy,"건강한 복숭아이다. 복숭아 나무는 미국 농무부 기준으로 5부터 8 또는 9 지역에서 자라며, 완두콩 나무와 같은 작은 나무나 표준 크기로 제공되므로, 마당 과수원에 좋은 선택이다. 대부분의 장식용 식물과 달리 복숭아 나무는 건강하고 생산적으로 유지되기 위해 규칙적인 가지치기, 비료 공급, 그리고 스프레이를 필요로 한다. 나무 주변의 풀과 잡초를 제거하여 물과 영양소를 경쟁하는 것을 피하고, 아낌없이 마루를 뿌려줘야한다.",건강한 복숭아 이다.,https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg,,,,,,,,,,
19,Pepper bell : Bacterial Spot,"잎에 처음에는 회갈색의 작은 점무늬로 나타나고, 진전되면 중심부는 흰색으로 변하며, 병반의 가장자리는 암갈색을 띠게 된다. 병반의 주위에는 황색의 테두리가 형성된다. 심한 경우에는 잎 전체가 갈색으로 변해 떨어진다. 잎자루와 과경에는 갈색의 둥근 반점이 형성되고, 진전되면 암갈색 부정형으로 약간 확대된다. 피망의 과실에서는 갈색 내지 암갈색의 반점으로 나타난다.",비가 자주 오면 병원세균이 식물체에 침입하거나 식물체내에서 증식하기가 매우 쉬어지므로 비가림 재배를 한다. 연작을 피하고 병든 조직은 빨리 밭에서 제거한다. 농작업은 맑은 날에 하고 사용하였던 농작업용 자재는 소독한 후 사용한다. 약제방제는 예방을 목적으로 사용하는 것이 효과적이며 심하게 발병하면 방제하기 어렵다.,https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg,,,,,,,,,,
20,Pepper bell : Healthy,건강한 고추이다. 하지만 흙을 너무 축축하게 만들지 않는 것이 좋다. 흙을 약 6인치 정도 깊게 촉촉하게 만든 다음 조금 마르게 둬야 한다. 고추가 자라는 동안과 수확 시에 물을 주는 것이 특히 중요하며 일정한 수분은 고추을 탄탄하고 건강하게 유지하는 데 도움이 됩니다. ,건강한 고추이다.,https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg,,,,,,,,,,
21,Potato : Early Blight,"주로 잎에 많이 발생한다. 처음에는 작은 원형의 갈색반점이 나타나고, 진전되면 1∼2㎝ 크기의 대형 흑갈색 병반이 형성된다. 심할 때에는 잎 전체가 말라죽게 되고 괴사부에는 흑색의 분생포자가 밀생한다. 토마토 겹둥근무늬병과 같이 뚜렸한 윤문이 형성되지는 않으나, 병반 상에는 다소의 윤문이 형성되는 것을 볼 수 있다.",발생상습지는 돌려 짓기를 하고 병든 잔사물은 신속히 제거하여 불태운다. 절비가 되지 않도록 주의한다. 큐어링을 충분히 하여 괴경감염을 방지한다.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg,,,,,,,,,,
22,Potato : Late Blight,기상 환경과 재배 양식에 따라 병 증상이 다양하게 나타나는데 초기에는 연록색이나 진한 녹색의 부정형 작은 반점이 잎에 나타난다. 환경이 적당하면 병은 순식간에 번지는데 적갈색의 큰 괴저 병반이 잎에 먼저 생기고 나중에 잎줄기와 줄기로 번져 포기 전체가 결국 말라죽는다. 병반 주변에는 가끔 연록색 혹은 노란 윤문이 생기며 병원균 포자가 하얗게 형성되기도 한다. 감염된 종서는 불규칙한 암갈색의 병반이 표면에 나타나는데 안으로 약간 들어가며 속을 갈라보면 적갈색으로 썩어있으나 비교적 단단하다.,"건전 씨감자를 선택하고 병든 감자는 불에 태우거나 땅속 깊이 묻는다. 저장 전 건전 종서 선별을 철저히 한다 . 환기를 잘하여 저장고가 과습하지 않도록 한다. 재배 포장은 배수가 잘되게 이랑을 파고 침수되지 않도록 주의한다. 예보에 따라 방제적기에 등록된 약제를 이용하여 예방적, 치료적 방제제를 사용한다.",https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg,,,,,,,,,,
23,Potato : Healthy,건강한 감자이다. 많은 감자가 성장하는 동안 일정한 수분을 유지해야 하므로 감자가 형성되면 매일 규칙적으로 물을 주어야 한다. 감자 식물에 물을 줄 때 물은 흙 수준으로 약 8-10인치 정도까지 도달해야 한다. 더운 계절이나 따뜻한 계절에는 흙이 빨리 말라가기 때문에 하루에 두 번 감자 식물에 많은 양의 물을 줘야 한다.,건강한 감자이다.,https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg,,,,,,,,,,
24,Raspberry : Healthy,"건강한 라즈베리이다.  봄부터 수확 후까지 매주 1인치의 물을 줘야한다. 빈번한 관수가 드물게 깊게 적시는 것보다 나은 결과를 가져온다. 라즈베리 덩굴을 정돈하기 위해 행에서 멀리 자라는 ""수꽃"" 또는 줄기들을 뽑아내야한다. 만약 이들을 제거하지 않으면 영양분을 빼앗아 다음 해에는 덜 많은 베리를 수확할 수 있다.",건강한 라즈베리이다.,https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg,,,,,,,,,,
25,Soybean : Healthy,건강한 콩이다. 꽃이 피고 콩 맺힘이 일어나는 동안 규칙적으로 물을 주는것이 좋다 . 꽃과 콩이 떨어지게 할 수 있는 고유수 관수는 피하여야 한다. 토양 온도가 60°F(16°C) 이상으로 올라갈 때 토양 수분 보존을 위해 마루를 뿌려줘야 한다.,건강한 콩이다.,https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg,,,,,,,,,,
26,Squash : Powdery Mildew,"주로 잎에 발생하며 잎자루와 줄기에도 발생한다. 잎에는 처음 흰색의 분생포자가 점점이 나타나고, 진전되면 잎 전체에 밀가루를 뿌려 놓은 것 같은 증상으로 변한다. 기온이 서늘해지면 병반상에 흑색소립점(자낭각)이 형성된다. 이 병으로 인하여 잎이 고사되는 일은 드무나 잎에 병든 그루는 노화되어 수확기간이 단축된다.",수확 후 병든 잔재물은 모두 제거한다. 밀식을 피하고 통풍이 잘되게 한다. 질소질 비료의 과용을 피하고 과번무 하지 않도록 한다. 등록약제를 이용하여 방제한다.,https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52,,,,,,,,,,
27,Strawberry : Leaf Scorch,"생육 초기부터 중기까지 저온기에 많이 발생한다. 감염초기에는 관부의 새싹부위가 적갈색을 띠면서 마르고, 진전되면 암갈색으로 변하여 말라죽는다. 감염된 잎에는 갈색 내지 적갈색의 작은 원형반점이 형성되고, 진전되면 병반이 융합하여 약간 확대된다. 감염된 뿌리는 암갈색 내지 흑색으로 변하여 썩는다. 병든 식물체는 생육이 불량하고, 심하게 진전되면 그루 전체가 말라죽는다.",병발생이 심한 포장은 돌려짓기를 한다. 재배지의 토양이 다습하지 않도록 주의한다. 등록약제를 이용하여 방제한다.,https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG,,,,,,,,,,
28,Strawberry : Healthy,"
건강한 딸기이다. 햇빛을 많이 받는 곳에 위치시켜야한다. 딸기는 많은 양의 빛을 좋아하고 필요로 한다. 딸기는 물이 많이 필요한 식물이다. 특히 과일을 생산하고 있는 경우 하루에 한 번씩 물을 줘야한다. 아침에 주는 것이 가장 좋으며, 병해충 예방을 위해 잎이 젖지 않도록 해야 한다. 날씨 조건이 극단적이거나 바람이 강할 때에는 보호해주는 것이 좋다. 딸기를 생산하기 위해 많은 에너지가 필요하기 때문에 비료를 주세요. 균형 잡힌 비료(10-10-10, 12-12-12 등)를 구입하는 것이 좋다.",건강한 딸기이다.,https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg,,,,,,,,,,
29,Tomato : Bacterial Spot,"토마토의 세균성 구멍병은 치명적인 질병으로 심각한 경우 무시무시한 손실을 야기시키며 가끔은 식물의 죽음으로 이어질 수 있다. 토마토가 재배되는 곳이라면 어디서든 발생할 수 있지만 따뜻하고 습한 기후, 그리고 온실에서 가장 빈번하게 발견된.  잎에는 작고 (약 ¼ 인치 미만), 때로는 물에 젖은 것처럼 보이는 원형의 작은 반점이 나타난다. 처음에는 노란-초록색일 수 있지만 나이가 들면 갈색-적갈색으로 변한다. 심한 경우에는 잎이 크게 노랗거나 잎이 떨어질 수 있다. 과일이 익으면 반점이 커지고 (최대 ¼ 인치까지) 갈색으로 변하며 거칠고 거칠어잔다. ",잎을 건조하게 유지하기 위해서 스프링클러를 피하고 물을 누르거나 스프레이 해주어야한다. 또한 전파를 방지하기 위해 식물이 젖은 상태에서 식물을 다루면 안된다. 따뜻하고 습한 기간동안에는 특히나 조심해야한다. ,https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg,,,,,,,,,,
30,Tomato : Early Blight,"잎, 줄기, 과실에 발생한다. 감염 부위에는 처음에 타원형의 갈색 반점으로 나타나고 진전되면 암갈색의 겹무늬 반점으로 확대된다. 병든 부위는 마른 상태로 썩으며 겹무늬가 생기고, 후에 분생포자가 형성되어 검은 색을 띠게 된다. 줄기의 감염 부위 위쪽으로는 시들고 말라 죽는다. 병든 과실은 검게 썩어 상품가치를 잃게 된다.","병든 식물은 일찍 제거하고, 발생상습지 포장은 돌려짓기한다. 조생종을 재배하고, 종자소독을 한다. 충분히 비료를 주도록 한다. 지주목을 새워 비,바람에 의해 쓰러지지 않도록 해주며, 통풍과 투광이 잘 되도록 한다.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF,,,,,,,,,,
31,Tomato : Late Blight,"잎, 과실, 줄기 등에서 발생한다. 잎에 발생하는 초기증상은 불명확한 수침상의 부정형 병반으로 나타나고 점점 커져 급속히 넓은 면적으로 번진다. 병든 잎은 연한 녹색이나 갈색으로 썩고, 과습하면 잎 뒷면에 다량의 흰 균사와 유주자낭을 형성하여 이슬처럼 보인다. 병든 잎은 갈색으로 썩고 오그라들면서 말라죽는데, 병발생이 심한 포장은 냉해를 입은 것처럼 보이기도 한다. 어린 가지나 줄기 혹은 잎자루 등의 병든 부위는 갈색으로 썩으며, 저온과습하면 흰 균사와 포자가 수 없이 많이 형성된다. 과실의 병든 부위는 흑갈색으로 썩고, 비교적 단단하며 과실전체가 심하게 오그라들기도 한다. 다른 병원균이 이차적으로 침입하게 되면 과실 전체가 물컹하게 썩기도 한다.",환기를 철저히 하여 시설내가 과습하지 않도록 한다. 잦은 물주기를 하지 않고 물빠짐을 좋게 한다. 항상 포장을 청결히 하고 병든 잎이나 줄기는 조기에 제거하여 불에 태우거나 땅속 깊이 묻는다. 등록약제를 이용하여 방제한다.,"https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80",,,,,,,,,,
32,Tomato : Leaf Mold,"잎에 발생한다. 처음에는 잎의 표면에 흰색 또는 담회색의 반점으로 나타나고 진전되면 황갈색 병반으로 확대된다. 잎 뒷면에 담갈색의 병반이 형성되는데, 병반상에는 갈색의 곰팡이가 융단처럼 밀생되어 있는 것을 볼 수 있으며, 오래되면 균총이 갈색에서 연한 자색으로 변한다. 주로 아래 잎에서 피해가 크며, 심하면 아랫잎 전체가 누렇게되고 말라 죽는다.","병든 잎을 신속히 제거한다. 90%이상의 상대습도가 유지되지 않도록 한다. 통풍이 잘되게 하고 밀식하지 않는다. 건전한 종자를 사용하고, 깨끗한 자재를 사용한다. 질소질 비료의 과용을 피한다.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg,,,,,,,,,,
